A Şubesi 2. Öğretim

	Öğrenci No	Arasınav
1	1022705011	Girmedi
2	1122706035	1
3	1122706037	1
4	1222705035	Girmedi
5	1222706015	Girmedi
6	1222706023	23
7	1322705011	5
8	1322705019	25
9	1322705027	40
10	1322705029	35
11	1322705033	15
12	1322706013	15
13	1322706019	50
14	1422705011	5
15	1422705025	30
16	1422705029	1
17	1422705031	15
18	1422705035	1
19	1422705037	15
20	1422705045	15
21	1422705057	25
22	1422705059	25
23	1422706009	15
24	1422706011	10
25	1422706013	50
26	1422706015	5
27	1422706017	25
28	1422706019	15
29	1522705001	23
30	1522705003	25
31	1522705007	43
32	1522705011	10
33	1522705021	33
34	1522705027	15
35	1522705039	15
36	1522705043	15
37	1522705045	20
38	1522705049	10
39	1522705051	10
40	1522705055	1
41	1522705307	10
42	1522705319	28
43	1522705321	1
44	1522706001	60
45	1522706005	75
46	1522706009	25
47	1522706011	7
48	1522706013	5
49	1522706017	35
50	1522706019	15
51	1522706021	38
52	1622705015	28
53	1622705017	38
54	1622705019	25
55	1622705021	10
56	1622705027	10
57	1622705031	Girmedi
58	1622705033	45
59	1622705035	10
60	1622705037	10
61	1622705045	1
62	1622705046	20
63	1622705047	1
64	1622705049	40
65	1622705051	15
66	1622705053	5
67	1622705055	Girmedi
68	1622705061	10
69	1622705063	Girmedi
70	1622705067	Girmedi
71	1622706001	10
72	1622706005	40
73	1622706007	3
74	1622706009	30
75	1622706011	15
76	1622706013	53
77	1712705094	5
78	1712705095	45
79	1712705097	20
80	1722705003	20
81	1722705009	15
82	1722705013	1
83	1722705015	15
84	1722705025	10
85	1722705031	15
86	1722705041	5
87	1722705045	15
88	1722705049	1
89	1722705053	1
90	1722705055	Girmedi
91	1722705057	10
92	1722705061	1
93	1722705073	Girmedi
94	1722706007	5
