B Şubesi 1. Öğretim

	OKUL NO	Arasınav
1	1112706032	12
2	1212705026	48
3	1312705002	28
4	1312705004	45
5	1312705006	1
6	1312705008	35
7	1312706008	1
8	1312706018	10
9	1321012034	53
10	1412705006	1
11	1412705014	10
12	1412705026	5
13	1412705044	60
14	1412705056	10
15	1412705302	Girmedi
16	1412706002	19
17	1412706004	1
18	1412706012	5
19	1412706020	45
20	1512705004	Girmedi
21	1512705010	5
22	1512705020	35
23	1512705022	19
24	1512705026	40
25	1512705028	5
26	1512705034	5
27	1512705038	1
28	1512705040	10
29	1512705044	25
30	1512705048	55
31	1512705066	30
32	1512706002	44
33	1512706008	25
34	1512706016	45
35	1512706020	Girmedi
36	1612705020	25
37	1612705030	1
38	1612705034	Girmedi
39	1612705038	5
40	1612705042	65
41	1612705044	5
42	1612706004	65
43	1612706006	90
44	1612706016	83
45	1712705002	Girmedi
46	1712705004	1
47	1712705006	25
48	1712705012	11
49	1712705014	35
50	1712705016	1
51	1712705024	40
52	1712705028	55
53	1712705038	1
54	1712705040	8
55	1712705042	35
56	1712705044	27
57	1712705048	50
58	1712705054	25
59	1712705058	Girmedi
60	1712705060	5
61	1712705062	23
62	1712705099	16
63	1712706002	28
64	1722705075	5
