B Şubesi 2. Öğretim

	OKUL NO	Arasınav
1	1122706006	10
2	1122706016	15
3	1222705020	5
4	1322705006	15
5	1322705034	30
6	1322705036	10
7	1322705040	25
8	1322705042	27
9	1322705044	10
10	1322706004	30
11	1322706018	Girmedi
12	1422705008	20
13	1422705012	Girmedi
14	1422705030	10
15	1422705032	1
16	1422705034	1
17	1422705050	22
18	1422705056	25
19	1422706010	10
20	1522705020	1
21	1522705022	Girmedi
22	1522705024	Girmedi
23	1522705026	15
24	1522705030	23
25	1522705032	10
26	1522705036	20
27	1522705038	1
28	1522705040	15
29	1522705046	10
30	1522705050	5
31	1522705054	1
32	1522705320	45
33	1522706012	1
34	1622705002	1
35	1622705006	1
36	1622705008	14
37	1622705012	20
38	1622705014	1
39	1622705026	Girmedi
40	1622705030	1
41	1622705032	2
42	1622705042	4
43	1622705048	1
44	1622705052	1
45	1622705062	10
46	1622705068	15
47	1622705302	5
48	1622706002	63
49	1622706004	20
50	1622706006	25
51	1622706008	90
52	1622706010	35
53	1622706012	15
54	1622706014	45
55	1712705096	40
56	1722705008	14
57	1722705010	35
58	1722705012	Girmedi
59	1722705018	10
60	1722705020	1
61	1722705022	15
62	1722705024	40
63	1722705026	Girmedi
64	1722705028	10
65	1722705036	7
66	1722705038	5
67	1722705040	5
68	1722705042	5
69	1722705044	8
70	1722705046	15
71	1722705050	5
72	1722705052	10
73	1722705054	63
74	1722705056	1
75	1722705058	10
76	1722705060	25
77	1822705502	43
