A Şubesi 2. Öğretim

	Öğrenci No	Final
1	1022705011	
2	1122706035	
3	1122706037	
4	1222705035	
5	1222706015	
6	1222706023	25
7	1322705011	
8	1322705019	8
9	1322705027	23
10	1322705029	43
11	1322705033	29
12	1322706013	20
13	1322706019	41
14	1422705011	34
15	1422705025	4
16	1422705029	
17	1422705031	37
18	1422705035	
19	1422705037	29
20	1422705045	8
21	1422705057	
22	1422705059	13
23	1422706009	67
24	1422706011	0
25	1422706013	45
26	1422706015	1
27	1422706017	20
28	1422706019	33
29	1522705001	
30	1522705003	1
31	1522705007	56
32	1522705011	1
33	1522705021	26
34	1522705027	1
35	1522705039	26
36	1522705043	3
37	1522705045	6
38	1522705049	
39	1522705051	40
40	1522705055	
41	1522705307	0
42	1522705319	18
43	1522705321	
44	1522706001	26
45	1522706005	40
46	1522706009	15
47	1522706011	
48	1522706013	
49	1522706017	40
50	1522706019	53
51	1522706021	9
52	1622705015	17
53	1622705017	1
54	1622705019	1
55	1622705021	30
56	1622705027	
57	1622705031	
58	1622705033	43
59	1622705035	
60	1622705037	0
61	1622705045	
62	1622705046	
63	1622705047	
64	1622705049	3
65	1622705051	0
66	1622705053	
67	1622705055	
68	1622705061	1
69	1622705063	
70	1622705067	
71	1622706001	
72	1622706005	48
73	1622706007	0
74	1622706009	6
75	1622706011	56
76	1622706013	
77	1712705094	35
78	1712705095	56
79	1712705097	61
80	1722705003	0
81	1722705009	5
82	1722705013	8
83	1722705015	1
84	1722705025	
85	1722705031	10
86	1722705041	32
87	1722705045	
88	1722705049	0
89	1722705053	
90	1722705055	
91	1722705057	3
92	1722705061	
93	1722705073	
94	1722706007	6

