B Şubesi 1. Öğretim

	OKUL NO  	Final
1	1112706032	
2	1212705026	
3	1312705002	
4	1312705004	
5	1312705006	
6	1312705008	41
7	1312706008	
8	1312706018	
9	1321012034	23
10	1412705006	
11	1412705014	38
12	1412705026	
13	1412705044	
14	1412705056	
15	1412705302	
16	1412706002	42
17	1412706004	
18	1412706012	0
19	1412706020	23
20	1512705004	41
21	1512705010	0
22	1512705020	13
23	1512705022	44
24	1512705026	45
25	1512705028	
26	1512705034	
27	1512705038	
28	1512705040	0
29	1512705044	2
30	1512705048	48
31	1512705066	22
32	1512706002	24
33	1512706008	
34	1512706016	33
35	1512706020	
36	1612705020	0
37	1612705030	
38	1612705034	
39	1612705038	
40	1612705042	38
41	1612705044	0
42	1612706004	50
43	1612706006	35
44	1612706016	75
45	1712705002	
46	1712705004	
47	1712705006	23
48	1712705012	6
49	1712705014	49
50	1712705016	
51	1712705024	31
52	1712705028	35
53	1712705038	
54	1712705040	
55	1712705042	21
56	1712705044	1
57	1712705048	26
58	1712705054	4
59	1712705058	
60	1712705060	
61	1712705062	
62	1712705099	3
63	1712706002	5
64	1722705075	3

