B Şubesi 2. Öğretim

	OKUL NO	    Final
1	1122706006	
2	1122706016	10
3	1222705020	
4	1322705006	27
5	1322705034	23
6	1322705036	32
7	1322705040	13
8	1322705042	1
9	1322705044	
10	1322706004	23
11	1322706018	
12	1422705008	1
13	1422705012	
14	1422705030	37
15	1422705032	
16	1422705034	1
17	1422705050	1
18	1422705056	
19	1422706010	0
20	1522705020	
21	1522705022	
22	1522705024	
23	1522705026	0
24	1522705030	0
25	1522705032	0
26	1522705036	
27	1522705038	
28	1522705040	11
29	1522705046	
30	1522705050	
31	1522705054	
32	1522705320	42
33	1522706012	
34	1622705002	
35	1622705006	
36	1622705008	
37	1622705012	
38	1622705014	15
39	1622705026	
40	1622705030	
41	1622705032	
42	1622705042	
43	1622705048	
44	1622705052	
45	1622705062	24
46	1622705068	
47	1622705302	1
48	1622706002	66
49	1622706004	25
50	1622706006	1
51	1622706008	53
52	1622706010	27
53	1622706012	10
54	1622706014	30
55	1712705096	48
56	1722705008	1
57	1722705010	5
58	1722705012	
59	1722705018	10
60	1722705020	
61	1722705022	0
62	1722705024	27
63	1722705026	0
64	1722705028	0
65	1722705036	15
66	1722705038	
67	1722705040	0
68	1722705042	1
69	1722705044	1
70	1722705046	26
71	1722705050	1
72	1722705052	0
73	1722705054	40
74	1722705056	0
75	1722705058	
76	1722705060	5
77	1822705502	

